"Bairro";"Nome";"Endereço";"Horario";"Telefone";"Empresa Coletora";"Latitude";"Longitude"
"Azenha";"EPTC - sede";"rua João Neves da Fontoura, 7";"2ªa 6ª - 8h30 às 12h e das 13h30 às 18h ";"3289-4226";"Ecológica";"-30.047009707956";"-51.217260342179"
"Azenha";"DMLU";"Av. Azenha, 631";"2ª 6ª das 8:00 às 12:00 / das 13:00 às 17:30";"3289-6991";;"-30.049436315104";"-51.213368848047"
"Bela Vista";"SOCIEDADE EDUCACIONAL LEONARDO DA VINCI ";"Av. Nilo Peçanha, 2400  ";"2ª 6ª 7-20:00 e sáb 8:00-12:00";"3328-6098 / 3328-9525";"Faros Coleto";"-30.028117645001";"-51.168128152022"
"Belém Novo";"Capatazia Belém Novo";"Av. Juca Batista, 10400  ";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3259-1956";"Faros Coleto";"-30.206098663652";"-51.179367320827"
" Belém Velho";"PSF Nossa Senhora de Belém";"Rua João do Couto nº 294";"2ªf a 6ªf - 8h-12h 13h-17h (menos 5ªf)";"3266-9139";"Ecológica";"-30.115734523438";"-51.178873100101"
"Bom Fim";"Centro Integrado de Desenvolvimento LTDA.";"Rua Fernandes Vieira, 553";"2ª6ª: 8:00- 18:45";"3311-2789";"Ecológica";"-30.034502777853";"-51.211026274574"
"Bom Jesus";"Capatazia Fátima";"Rua Alfredo Ferreira Rodrigues, 975  ";"2º-6º: 8:00-18:00 sab: 8:00-12:00";"3367-3777";"Faros Coleto";"-30.047769645614";"-51.154964844398"
"Bom Jesus";"EMEF Fátima";"Rua A,  Vlila N.Sra.Fátima, 15  ";"2ª 6ª - 8:00-12:00 /14:00-18:00 /19:00-21:00h";"3338-3695";"Faros Coleto";"-30.045642316402";"-51.15798691118"
"Bom Jesus";"FASC- Centro Regional Leste";"R São Domingos, 79  ";"2º-6º: 8:00-12:00 /13:00-17:00";"33344238/33867628";"Ecológica";"-30.042300931012";"-51.152870313686"
"Camaquã";"EMEI Jardim Camaquã";"Rua Jardim das Bromélias, 01  ";"2ª 6ª - 7:00-19:00h";"3241-4986";"Ecológica";"-30.110566844183";"-51.234442668086"
"Campo Novo";"Escola Estadual de Ensino Fundamental Paulina Moresco";"Rua Thomé de Souza, 160  ";"2º-6º: 8:00-17:00";"3245-3888";"Ecológica";"-30.083270189467";"-51.085675312524"
