"Nome","Endereço","Bairro","Telefone","Cep","Latitude","Longitude","Residuos","Horario","Site","Coleta"
"BIG POA-CRISTAL","AVENIDA DIÁRIO DE NOTÍCIAS, 500","CRISTAL",,,"-30.085278023687","-51.24742564347",,,,
"BIG POA-SERTORIO","AVENIDA SERTÓRIO, 6600","SARANDI",,,"-29.997785260002","-51.13831538378",,,,
"BIG PORTO ALEGRE - CRISTAL","AVENIDA DIÁRIO DE NOTÍCIAS, 500","CRISTAL",,,"-30.085278209207","-51.247424322945",,,,
"BIG ZONA SUL","ESTRADA EDUARDO PRADO, 330","CAVALHADA",,,"-30.122100612448","-51.222398173552",,,,
"CARREFOUR - PASSOS DAREIA","AVENIDA PLÍNIO BRASIL MILANO","HIGIENÓPOLIS",,,"-30.019504878405","-51.178208621337",,,,
"CARREFOUR - PORTO ALEGRE","AVENIDA IPIRANGA","JARDIM BOTÂNICO",,,"-30.055449402012","-51.18850087451",,,,
"CARREFOUR - PORTO ALEGRE SERTÓRIO","AVENIDA SERTÓRIO 6767","SARANDI",,,"-29.997973885858","-51.138325251605",,,,
"ESC - MANUTENCAO E COMERCIO DE ARTIGOS E AT PANASONIC","AVENIDA PROTÁSIO ALVES,1041","RIO BRANCO",,,"-30.039967326277","-51.198117074575",,,,
"GM&C - PORTO ALEGRE","RUA ALMIRANTE BARROSO, 710","FLORESTA",,,"-30.017724605725","-51.206046330581",,,,
"LINA SISTEMAS DE TELEC LTDA- AT PANASONIC","RUA VINTE E QUATRO DE OUTUBRO, 1403","INDEPENDÊNCIA",,,"-30.022198218246","-51.194497694772",,,,
"MAXXI DISTRIBUIÇÃO - POA","RUA SÉRGIO JUNGBLUT DIETERICH","SÃO JOÃO",,,"-29.992249900856","-51.142960670974",,,,
"MAXXI POA-HUMAITA","AVENIDA A. J. RENNER, 1603","HUMAITÁ",,,"-29.982594140317","-51.192602020677",,,,
"MAXXI POA-SARANDI","AVENIDA ASSIS BRASIL, 8285","CRISTO REDENTOR",,,"-29.982298545867","-51.115555385508",,,,
"NACIONAL POA - C.BAIXA","AVENIDA AURELIANO DE FIGUEIREDO PINTO, 789","PRAIA DE BELAS",,,"-30.043493432582","-51.223431846361",,,,
"NACIONAL POA-BELA VISTA","RUA CARAZINHO, 788","PETRÓPOLIS",,,"-30.035746639841","-51.185590544679",,,,
"NACIONAL POA-C.REDENTOR","AVENIDA FRANCISCO TREIN, 687","CRISTO REDENTOR",,,"-30.01760044205","-51.15908226868",,,,
"NACIONAL POA-G.FREITAS","RUA GOMES DE FREITAS, 73","JARDIM ITU SABARÁ",,,"-30.009908505836","-51.143076889555",,,,
"NACIONAL POA-JD.LEOPOLDINA","RUA DOUTOR ROMAGUERA DA CUNHA CORREA, 60","PROTÁSIO ALVES",,,"-30.015697255276","-51.11195393911",,,,
"NACIONAL POA-L.OLIVEIRA","AVENIDA CORONEL LUCAS DE OLIVEIRA, 740","PETRÓPOLIS",,,"-30.029375154676","-51.194489429778",,,,
"NACIONAL POA-LINDOIA","AVENIDA PANAMERICANA, 240","JARDIM LINDÓIA",,,"-30.008230371503","-51.151245918423",,,,
"NACIONAL POA-M.DEUS","RUA JOSÉ DE ALENCAR, 998","MENINO DEUS",,,"-30.060462389485","-51.221140354352",,,,
"NACIONAL POA-M.TOSTES","RUA MIGUEL TOSTES, 176","RIO BRANCO",,,"-30.029592586867","-51.205840086297",,,,
"NACIONAL POA-P.ALVES","AVENIDA PROTÁSIO ALVES, 940","RIO BRANCO",,,"-30.039623745242","-51.198667349065",,,,
"NACIONAL POA-P.BELAS","AVENIDA PRAIA DE BELAS, 1181","PRAIA DE BELAS",,,"-30.049352212326","-51.227794933588",,,,
"NACIONAL POA-R.PRAIA","RUA DOS ANDRADAS, 1001","CENTRO HISTÓRICO",,,"-30.030591894121","-51.23184644929",,,,
"NACIONAL POA-S.TRISTEZA","AVENIDA WENCESLAU ESCOBAR, 2770","CRISTAL",,,"-30.112747818887","-51.255147709284",,,,
"NACIONAL POA-SANTANA","RUA VICENTE DA FONTOURA, 1135","RIO BRANCO",,,"-30.049429502684","-51.203220560679",,,,
"NACIONAL POA-TERESOPOLIS","AVENIDA TERESÓPOLIS, 2893","TERESÓPOLIS",,,"-30.078884393358","-51.209137307284",,,,
"NACIONAL POA-V.AIRES","AVENIDA VENÂNCIO AIRES, 1211","CIDADE BAIXA",,,"-30.036885200991","-51.208963252689",,,,
