"Nome","Endereço","Telefone","Residuo","Horario","Cidade","Bairro","Longitude","Latitude"
"Capatazia Belém Novo ","Av. Juca Batista, 10.400 ",3259.1956,"Pneus",,"Porto Alegre",,"-51.179364319519","-30.206097986052"
"Capatazia Câncio Gomes","Travessa Carmen nº 111",3395.1327,"Pneus",,"Porto Alegre",,"-51.204622663967","-30.019467623221"
"Capatazia Cavalhada ","Av. Otto Niemeyer nº 3.206",3245.5753,"Pneus",,"Porto Alegre",,"-51.24274513764","-30.106009136367"
"Capatazia Conceição ","Sob o Viaduto da Conceição",3226.195,"Pneus",,"Porto Alegre",,"-51.219580792726","-30.026291490419"
"Capatazia Humaitá ","Rua José Aluísio Filho nº 780 – ",3325.316,"Pneus",,"Porto Alegre",,"-51.185515987734","-29.981904327042"
"Capatazia IAPI ","Av. Assis Brasil nº 1.715",3342.6121,"Pneus",,"Porto Alegre",,"-51.170292285848","-30.010937505932"
"Capatazia Ilhas ","Centro Administrativo Regional (CAR) – Ilha da Pintada – ",32117541,"Pneus",,"Porto Alegre",,"-51.249999535181","-30.033332033879"
"Capatazia Ipanema ","Av. Guaíba nº 2.027",3248.1725,"Pneus",,"Porto Alegre",,"-51.256877290788","-30.097655748187"
"Capatazia Lami ","Av. Guaíba",3258.5055,"Pneus",,"Porto Alegre",,"-51.225212158201","-30.148199181799"
"Capatazia Lomba do Pinheiro ","Estrada Afonso Lourenço Mariante nº 4.401",3352.6629,"Pneus",,"Porto Alegre",,"-51.14321186706","-30.10186582971"
"Capatazia Niterói ","Rua Niterói nº 19 –",3217.9257,"Pneus",,"Porto Alegre",,"-51.077293967969","-30.023033939195"
"Capatazia Nordeste ","Rua Dom Jaime de Barros Câmara nº 815 ",3365.4059,"Pneus",,"Porto Alegre",,"-51.130558329401","-30.002507561613"
"Capatazia Pereira Franco ","Rua Pereira Franco nº 135",3325.289,"Pneus",,"Porto Alegre",,"-51.191623784815","-30.005382604129"
"Capatazia República ","Rua da República nº 711",3212.8071,"Pneus",,"Porto Alegre",,"-51.226385430468","-30.04058660093"
"Capatazia Restinga ","Rua Rubens Torelli nº 50 ",3250.1952,"Pneus",,"Porto Alegre",,"-51.146104535797","-30.151165352191"
"Capatazia Silva Só ","Av. Silva Só sob o Viaduto Tiradentes",3331.4519,"Pneus",,"Porto Alegre",,"-51.209660931839","-30.025737044232"
"Capatazia Visconde ","Rua Visconde do Herval nº 945 ",3233.1331,"Pneus",,"Porto Alegre",,"-51.219040166853","-30.053522026567"
"Capatazia/ Unidade destino Certo (UDC) Fátima Pinto ","Rua Alfredo Ferreira Rodrigues nº 975",3367.3777,"Pneus",,"Porto Alegre",,"-51.154965436911","-30.047766363644"
"UDC Carvalho de Freitas ","Rua Carvalho de Freitas nº 1.012",3322.034,"Pneus",,"Porto Alegre",,"-51.201858134408","-30.079961755394"
"Unidade Destino Certo (UDC) Bernardino Silveira Amorim ","Av. Bernardino Silveira Amorim nº 2.261","33862155 ","Pneus",,"Porto Alegre",,"-51.1065377278","-29.999414707695"
"Unidade Destino Certo (UDC) Tenente Alpoin ","Rua José L. R. Sobral nº 958",3354.6248,"Pneus",,"Porto Alegre",,"-51.176967056756","-30.068229379667"
"Unidade Destino Certo (UDC) Diário de Notícias ","Av. Diário de Notícia 1.111 ","3311.4730 ","Pneus",,"Porto Alegre",,"-51.248603860719","-30.089480309589"
